page,title,price,location,size_m2,url
3,Very nice apartment for rent in Les Berges Du Lac 2. Large a...,"8,000 TND",La Marsa,3 Rooms,N/A
3,Flat for rent in Les Jardins de Carthage. 2 large living are...,"2,500 TND",Le Kram,"108
						m²",N/A
3,Alma residence,"From180,000 TND",Nouvelle Medina,"Delivery:
									November 2027",N/A
3,Apartment for rent in Ain Zaghouan Nord. 1 room. Beautiful t...,"1,000 TND",La Marsa,"70
						m²",N/A
3,Apartment for rent in Cité Les Pins. 2 rooms. Secured door a...,"1,500 TND",La Marsa,"100
						m²",N/A
3,Great apartment for rent in Bhar Lazreg. 2 comfortable rooms...,"1,300 TND",La Marsa,"65
						m²",N/A
3,Lovely apartment for rent in Les Jardins de Carthage. Large...,"1,500 TND",Le Kram,"65
						m²",N/A
3,Rent this apartment in Les Berges Du Lac 2. Area of 65 m². D...,"1,500 TND",La Marsa,"65
						m²",N/A
3,Lovely apartment for rent in Ain Zaghouan. 3 rooms. Secured...,"2,100 TND",La Marsa,"160
						m²",N/A
3,Rent this apartment in La Soukra. 2 lovely rooms. Lift and p...,"1,450 TND",La Soukra,"130
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2. Dimension 200 m²...,"4,500 TND",La Marsa,"200
						m²",N/A
3,Apartment for rent in Les Berges Du Lac 2. Small area 130 m²...,"3,500 TND",La Marsa,"130
						m²",N/A
3,Find an apartment for rent. Dimension 150 m². Storage unit,"1,500 TND",Sousse Jaouhara,"150
						m²",N/A
3,Find an apartment for rent in Mutuelle Ville. Total area 90...,"2,000 TND",El Menzah,"90
						m²",N/A
3,Great apartment for rent in Les Jardins de Carthage. 3 large...,"2,200 TND",Le Kram,"120
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. 1 Living are...,"1,500 TND",Le Kram,"80
						m²",N/A
4,Lovely apartment for rent in La Marsa. 4 large living areas...,"4,000 TND",La Marsa,"160
						m²",N/A
4,Rent an apartment in Les Jardins de Carthage. Small area 80...,"1,300 TND",Le Kram,"80
						m²",N/A
4,For Rent: 3-bedroom apartment with garden in Les Jardins de...,"3,000 TND",Le Kram,"150
						m²",N/A
4,Great apartment for rent in Les Jardins de Carthage. Surface...,"3,200 TND",Le Kram,"180
						m²",N/A
4,Apartment for rent in Les Jardins de Carthage. 2 lovely room...,"2,600 TND",Le Kram,"145
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. Surface area...,"3,100 TND",Le Kram,4 Rooms,N/A
4,RESIDENCE MYRIAM 3 - Carthage Gardens,"From640,000 TND",Le Kram,Completed,N/A
4,Flat for rent in Les Jardins de Carthage. 1 lovely room. Dre...,"2,400 TND",Le Kram,1 Room,N/A
4,Lovely apartment for rent in La Soukra. Total area 81 m². Wi...,"1,200 TND",La Soukra,"81
						m²",N/A
4,Flat for rent in Les Jardins de Carthage. 3 rooms. Double gl...,"2,800 TND",Le Kram,"201
						m²",N/A
4,Apartment for rent in Erriadh. 4 rooms. Furnishings,"3,800 TND",Le Kram,"160
						m²",N/A
4,Apartment for rent in Les Jardins de Carthage. Dimension 140...,"3,000 TND",Le Kram,"140
						m²",N/A
4,Rent this apartment in Les Jardins de Carthage. 4 comfortabl...,"2,800 TND",Le Kram,"230
						m²",N/A
