scrape_date,category,title,price,location,size_m2,rooms,url,source,page,source_file,price_numeric,size_numeric,rooms_numeric,price_per_m2,log_price,is_sale
20260120,apt_rent,Flat for rent in La Marsa. 4 comfortable rooms. Storage unit...,"3,000 TND",N/A,150 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,3000.0,150.0,3.0,20.0,8.006700845440367,False
20260120,apt_rent,"Flat for rent in La Marsa. 4 large rooms. Green areas, Parki...","2,800 TND",N/A,180 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,2800.0,180.0,3.0,15.555555555555555,7.937731775260109,False
20260120,apt_rent,Apartment for rent in Cité Ennasr 2. 1 room. caretaker avail...,"1,000 TND",N/A,56 m²,1.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1000.0,56.0,1.0,17.857142857142858,6.90875477931522,False
20260120,apt_rent,Rent an apartment in La Marsa. Area 200 m². Storage unit,"4,000 TND",N/A,200 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,4000.0,200.0,3.0,20.0,8.294299608857235,False
20260120,apt_rent,Rent an apartment in La Marsa. 3 large rooms. Reinforced doo...,"1,300 TND",N/A,100 m²,2.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1300.0,100.0,2.0,13.0,7.170888478512505,False
20260120,apt_rent,Flat for rent in La Marsa. Dimension 180 m². Central heating...,"1,800 TND",N/A,180 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,1800.0,180.0,3.0,10.0,7.496097345175956,False
20260120,apt_rent,Rent this apartment in La Marsa. 4 comfortable rooms. Genera...,"2,200 TND",N/A,140 m²,3.0,N/A,mubawab_ultra,6,mubawab_max_apt_rent.csv,2200.0,140.0,3.0,15.714285714285714,7.696667081526462,False
20260120,apt_rent,N/A,"3,000 TND",N/A,220 m²,3.0,N/A,mubawab_ultra,7,mubawab_max_apt_rent.csv,3000.0,220.0,3.0,13.636363636363637,8.006700845440367,False
20260120,apt_rent,N/A,"3,000 TND",N/A,220 m²,3.0,N/A,mubawab_ultra,7,mubawab_max_apt_rent.csv,3000.0,220.0,3.0,13.636363636363637,8.006700845440367,False
20260120,apt_rent,N/A,"3,000 TND",N/A,220 m²,3.0,N/A,mubawab_ultra,7,mubawab_max_apt_rent.csv,3000.0,220.0,3.0,13.636363636363637,8.006700845440367,False
20260120,apt_rent,N/A,"2,500 TND",N/A,150 m²,3.0,N/A,mubawab_ultra,8,mubawab_max_apt_rent.csv,2500.0,150.0,3.0,16.666666666666668,7.824445930877619,False
20260120,apt_rent,N/A,"2,500 TND",N/A,150 m²,3.0,N/A,mubawab_ultra,8,mubawab_max_apt_rent.csv,2500.0,150.0,3.0,16.666666666666668,7.824445930877619,False
20260120,apt_rent,N/A,"2,500 TND",N/A,150 m²,3.0,N/A,mubawab_ultra,8,mubawab_max_apt_rent.csv,2500.0,150.0,3.0,16.666666666666668,7.824445930877619,False
20260120,apt_rent,N/A,"7,500 TND",N/A,300 m²,5.0,N/A,mubawab_ultra,9,mubawab_max_apt_rent.csv,7500.0,300.0,5.0,25.0,8.922791623969637,False
20260120,apt_rent,N/A,"7,500 TND",N/A,300 m²,5.0,N/A,mubawab_ultra,9,mubawab_max_apt_rent.csv,7500.0,300.0,5.0,25.0,8.922791623969637,False
20260120,apt_rent,N/A,"7,500 TND",N/A,300 m²,5.0,N/A,mubawab_ultra,9,mubawab_max_apt_rent.csv,7500.0,300.0,5.0,25.0,8.922791623969637,False
20260120,apt_rent,Lovely apartment for rent in La Soukra. 3 lovely rooms. Care...,"1,500 TND",N/A,110 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1500.0,110.0,2.0,13.636363636363637,7.313886831633462,False
20260120,apt_rent,Great apartment for rent in Aouina. 1 lovely room. Reinforce...,"1,250 TND",N/A,60 m²,1.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1250.0,60.0,1.0,20.833333333333332,7.1316985104669115,False
20260120,apt_rent,Great apartment for rent in Les Jardins de Carthage. 2 lovel...,"1,500 TND",N/A,110 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1500.0,110.0,2.0,13.636363636363637,7.313886831633462,False
20260120,apt_rent,Apartment for rent in Les Berges Du Lac 2. 3 beautiful rooms...,"2,600 TND",N/A,180 m²,3.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2600.0,180.0,3.0,14.444444444444445,7.8636512654486515,False
20260120,apt_rent,Apartment for rent in Les Berges Du Lac 2.2 lovely rooms. At...,"2,500 TND",N/A,N/A,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2500.0,,2.0,,7.824445930877619,False
20260120,apt_rent,Very nice apartment for rent in Cité de la Plage. 1 room. Ce...,"1,300 TND",N/A,100 m²,1.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1300.0,100.0,1.0,13.0,7.170888478512505,False
20260120,apt_rent,Rent this apartment in Hammam Sousse. 2 lovely rooms. Satell...,"1,400 TND",N/A,110 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1400.0,110.0,2.0,12.727272727272727,7.244941546337007,False
20260120,apt_rent,Cap Kantaoui Residence _ Sea View,"298,230 TND",N/A,N/A,N/A,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,298230.0,,,,12.6056236329854,False
20260120,apt_rent,New one-bedroom apartment for rent in Sahloul,"1,200 TND",N/A,90 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1200.0,90.0,2.0,13.333333333333334,7.0909098220799835,False
20260120,apt_rent,Very nice apartment for rent in Nabeul. 2 beautiful rooms. D...,750 TND,N/A,100 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,750.0,100.0,2.0,7.5,6.621405651764134,False
20260120,apt_rent,Very nice apartment for rent in La Soukra. 2 comfortable roo...,"1,300 TND",N/A,N/A,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1300.0,,2.0,,7.170888478512505,False
20260120,apt_rent,Very nice apartment for rent in Cité Les Pins. 4 comfortable...,"3,500 TND",N/A,N/A,3.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,3500.0,,3.0,,8.160803920954665,False
20260120,apt_rent,Apartment for rent in Ain Zaghouan Nord. 3 comfortable rooms...,"1,500 TND",N/A,113 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1500.0,113.0,2.0,13.274336283185841,7.313886831633462,False
20260120,apt_rent,Rent an apartment in Les Jardins de Carthage. 5 rooms. Fully...,"1,850 TND",N/A,140 m²,5.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1850.0,140.0,5.0,13.214285714285714,7.523481312573497,False
20260120,apt_rent,Flat for rent in Cité Erriadh. 2 rooms. Furnishings,"2,100 TND",N/A,120 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2100.0,120.0,2.0,17.5,7.650168700845001,False
20260120,apt_rent,Rent this apartment. 2 rooms. Double glazing and central hea...,"1,500 TND",N/A,160 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1500.0,160.0,2.0,9.375,7.313886831633462,False
20260120,apt_rent,Find an apartment for rent in Cité El Wafa. 2 beautiful room...,"1,600 TND",N/A,120 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1600.0,120.0,2.0,13.333333333333334,7.3783837129967145,False
20260120,apt_rent,Great apartment for rent in Chotrana 1.2 rooms. Robust door...,"1,300 TND",N/A,65 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1300.0,65.0,2.0,20.0,7.170888478512505,False
20260120,apt_rent,Lovely apartment for rent in Les Jardins de Carthage. Large...,"2,900 TND",N/A,150 m²,3.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2900.0,150.0,3.0,19.333333333333332,7.972810784121404,False
20260120,apt_rent,"Rent an apartment. 3 rooms. Secured door, Secured neighbourh...","1,200 TND",N/A,120 m²,3.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1200.0,120.0,3.0,10.0,7.0909098220799835,False
20260120,apt_rent,Apartment for rent in La Marsa. 1 room. Cellar,"2,300 TND",N/A,63 m²,1.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2300.0,63.0,1.0,36.507936507936506,7.741099090035366,False
20260120,apt_rent,Great apartment for rent in Les Jardins de Carthage. 2 beaut...,"2,400 TND",N/A,110 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2400.0,110.0,2.0,21.818181818181817,7.783640596221253,False
20260120,apt_rent,Great apartment for rent in Ain Zaghouan Nord. 4 rooms. Gara...,"2,200 TND",N/A,200 m²,4.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2200.0,200.0,4.0,11.0,7.696667081526462,False
20260120,apt_rent,Flat for rent in Les Jardins de Carthage. Dimension 180 m²...,"2,200 TND",N/A,180 m²,3.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2200.0,180.0,3.0,12.222222222222221,7.696667081526462,False
20260120,apt_rent,Apartment for rent in Chotrana 1. 1 Living area. Oven,"1,100 TND",N/A,60 m²,1.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1100.0,60.0,1.0,18.333333333333332,7.00397413672268,False
20260120,apt_rent,Lovely apartment for rent in Les Jardins de Carthage. 4 room...,"2,100 TND",N/A,130 m²,4.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2100.0,130.0,4.0,16.153846153846153,7.650168700845001,False
20260120,apt_rent,Find an apartment for rent in Les Jardins de Carthage. 2 lov...,"2,500 TND",N/A,115 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2500.0,115.0,2.0,21.73913043478261,7.824445930877619,False
20260120,apt_rent,Apartment for rent in La Soukra. 1 lovely room. Parking spac...,"1,100 TND",N/A,80 m²,1.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,1100.0,80.0,1.0,13.75,7.00397413672268,False
20260120,apt_rent,Flat for rent in La Marsa. 2 rooms. Well furnished,"2,000 TND",N/A,80 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2000.0,80.0,2.0,25.0,7.601402334583733,False
20260120,apt_rent,Very nice apartment for rent in Les Jardins de Carthage. 2 b...,"2,600 TND",N/A,115 m²,2.0,N/A,mubawab_ultra,10,mubawab_max_apt_rent.csv,2600.0,115.0,2.0,22.608695652173914,7.8636512654486515,False
