title,price,location,size_m2,url,page
Find an apartment to buy in Les Jardins de Carthage. 2 lovel...,"650,000 TND",Le Kram,"131
						m²",N/A,3
Sell apartment in Les Jardins de Carthage. 3 large rooms. Ge...,"640,000 TND",Le Kram,"129
						m²",N/A,3
Sale of a lovely apartment in Les Jardins de Carthage. 4 roo...,"770,000 TND",Le Kram,"155
						m²",N/A,3
Khadouja Residence,"From533,600 TND",Le Kram,N/A,N/A,3
Beautiful apartment for sale in Les Jardins de Carthage. Are...,"650,000 TND",Le Kram,"131
						m²",N/A,3
Sale of a lovely apartment in Chotrana 1. Total area 134 m²...,"780,000 TND",La Soukra,"134
						m²",N/A,3
Apartment for sale in Chotrana 1.3 rooms. Thermal insulation...,"445,746 TND",La Soukra,"106
						m²",N/A,3
Sell apartment in Les Jardins de Carthage. 4 rooms. Reinforc...,Price on request,Le Kram,"270
						m²",N/A,3
Sale of a lovely apartment in Gammarth Village. 4 beautiful...,"980,000 TND",La Marsa,"275
						m²",N/A,3
Apartment to purchase. 3 large rooms. Well equipped kitchen,"210,000 TND",Bizerte,"90
						m²",N/A,3
Find an apartment to buy in Les Jardins de Carthage. 3 rooms...,Price on request,Le Kram,"161
						m²",N/A,3
Sell apartment. Area 147 m². Quiet sorroundings with sea vie...,"550,000 TND",Bizerte,"147
						m²",N/A,3
Apartment for sale. 2 beautiful rooms. Balcony,"180,000 TND",Bizerte,"90
						m²",N/A,3
Apartment to purchase. 12 rooms. Equipped kitchen,"450,000 TND",Bizerte,"179
						m²",N/A,3
Apartment to purchase. 3 comfortable rooms. Exceptional sea...,"650,000 TND",Bizerte,"135
						m²",N/A,3
Fabulous apartment for sale in Mornag. 2 beautiful rooms. Ro...,"229,200 TND",Mornag,"115
						m²",N/A,3
Apartment to purchase in Chotrana 1. Small area 55 m². Lift...,"321,900 TND",La Soukra,"55
						m²",N/A,3
Sale of a lovely apartment in Aouina. 3 large rooms. Caretak...,"395,000 TND",La Marsa,"129
						m²",N/A,3
Apartment for sale in Kairouan Ville. 4 comfortable rooms,"253,236 TND",Kairouan Ville,"107
						m²",N/A,3
Apartment to purchase in Bou Mhel. 3 comfortable rooms. Sate...,"300,000 TND",Boumhel Bassatine,"110
						m²",N/A,3
Apartment for sale in Beni Khiar. 7 large rooms,"3,000,000 TND",Beni Khiar,"8000
						m²",N/A,3
Sale of a lovely apartment in Route sokra. Dimension 105 m²...,"159,000 TND",Sfax Ville,"105
						m²",N/A,3
Apartment for sale in Chotrana 1. 2 large rooms. Garden and...,"298,000 TND",La Soukra,"84
						m²",N/A,3
Beautiful apartment for sale in Sidi Salah. 1 Living area. I...,"200,000 TND",La Soukra,"118
						m²",N/A,3
Sale of a lovely apartment in La Marsa. 3 rooms. Robust door...,"690,000 TND",La Marsa,"140
						m²",N/A,3
Apartment to purchase in Aouina. 2 comfortable rooms. With L...,"300,000 TND",La Marsa,"117
						m²",N/A,3
Fabulous apartment for sale in Montfleury. Large area 40 m²...,"110,000 TND",Tunis,"40
						m²",N/A,3
"Apartment for sale in Bab Bhar. Large area 180 m². Cellar, L...","430,000 TND",Tunis,"180
						m²",N/A,3
Sale of a lovely apartment in Mornag. Small area 142 m². Dou...,"283,600 TND",Mornag,"142
						m²",N/A,3
Find an apartment to buy in El Menzah 9. 3 beautiful rooms...,"1,450,000 TND",El Menzah,"590
						m²",N/A,3
N/A,N/A,N/A,N/A,N/A,3
Sale of a lovely apartment in Les Jardins de Carthage. 2 bea...,"650,000 TND",Le Kram,"131
						m²",N/A,4
Find an apartment to buy in Les Jardins de Carthage. Total a...,"650,000 TND",Le Kram,"131
						m²",N/A,4
Find an apartment to buy in Les Jardins de Carthage. 2 rooms...,"709,000 TND",Le Kram,"129
						m²",N/A,4
Sale of a lovely apartment in Les Jardins de Carthage. 2 roo...,"672,800 TND",Le Kram,"116
						m²",N/A,4
Beautiful apartment for sale in Les Jardins de Carthage. 2 b...,"748,200 TND",Le Kram,"121
						m²",N/A,4
Find an apartment to buy in Les Jardins de Carthage. Dimensi...,"533,600 TND",Le Kram,"92
						m²",N/A,4
Apartment for sale in Nouvelle Medina. 2 beautiful rooms. Sw...,"260,000 TND",Nouvelle Medina,"92
						m²",N/A,4
Alma residence,"From180,000 TND",Nouvelle Medina,"Delivery:
										November 2027",N/A,4
Sale of a lovely apartment in Nouvelle Medina. 1 Living area...,"180,000 TND",Nouvelle Medina,"61
						m²",N/A,4
Sale of a lovely apartment in Sahloul. 3 comfortable rooms...,"340,000 TND",Sahloul,"137
						m²",N/A,4
Fabulous apartment for sale in Les Jardins d'El Menzah 1.1 l...,Price on request,Ariana Ville,"68
						m²",N/A,4
Find an apartment to buy in Aouina. Area of 119 m². No Lift...,"449,000 TND",La Marsa,"119
						m²",N/A,4
Apartment to purchase in Les Jardins de Carthage. 3 lovely r...,"1,238,000 TND",Le Kram,"188
						m²",N/A,4
Fabulous apartment for sale in Les Berges Du Lac 2. 5 comfor...,"1,300,000 TND",La Marsa,"200
						m²",N/A,4
Apartment for sale in Cité El Khadra. Area of 130 m². Air co...,"225,000 TND",Cité El Khadra,"130
						m²",N/A,4
Beautiful apartment for sale in Ain Zaghouan Nord. Surface a...,Price on request,La Marsa,"101
						m²",N/A,4
Beautiful apartment for sale in Les Jardins de Carthage. 4 l...,Price on request,Le Kram,"194
						m²",N/A,4
Apartment to purchase in Chotrana 1.3 lovely rooms. Double g...,"817,920 TND",La Soukra,"129
						m²",N/A,4
Apartment to purchase in Les Jardins d'El Menzah 1. Dimensio...,Price on request,Ariana Ville,"107
						m²",N/A,4
Sale of a lovely apartment in Les Jardins d'El Menzah 1.3 la...,Price on request,Ariana Ville,"106
						m²",N/A,4
Sale of a lovely apartment in Ain Zaghouan Nord. Dimension 1...,Price on request,La Marsa,"120
						m²",N/A,4
Apartment for sale in Ain Zaghouan Nord. 1 Living area. Secu...,"368,500 TND",La Marsa,"106
						m²",N/A,4
Apartment for sale in Ain Zaghouan Nord. Dimension 153 m². W...,Price on request,La Marsa,"153
						m²",N/A,4
Sell apartment. 2 beautiful rooms. Swimming pool and air con...,"645,000 TND",Bizerte,"219
						m²",N/A,4
Apartment to purchase. Small area 157 m². Parking spaces and...,"340,000 TND",Ariana Ville,"157
						m²",N/A,4
Apartment for sale. 3 large rooms. Private car park,"490,000 TND",Ariana Ville,"179
						m²",N/A,4
Fabulous apartment for sale in Chotrana 1. 4 comfortable roo...,"720,000 TND",La Soukra,"178
						m²",N/A,4
Sell apartment in La Soukra. Dimension 108 m². Satellite dis...,"399,000 TND",La Soukra,"108
						m²",N/A,4
Find an apartment to buy in La Soukra. 3 lovely rooms. Doubl...,"700,000 TND",La Soukra,"161
						m²",N/A,4
Find an apartment to buy in Chotrana 1. Dimension 152 m². Do...,"425,000 TND",La Soukra,"152
						m²",N/A,4
Apartment to purchase in La Soukra. Surface area 131 m². Dou...,"592,000 TND",La Soukra,"131
						m²",N/A,4
Find an apartment to buy in Chotrana 1.2 rooms. Thermal insu...,"530,000 TND",La Soukra,"104
						m²",N/A,4
Beautiful apartment for sale in La Soukra. Small area 57 m²...,"260,000 TND",La Soukra,"57
						m²",N/A,4
Find an apartment to buy in Chotrana 1.2 rooms. Caretaker an...,"460,000 TND",La Soukra,"116
						m²",N/A,4
N/A,N/A,N/A,N/A,N/A,4
Beautiful apartment for sale in El Kantaoui. Surface area 14...,"596,785 TND",Hammam Sousse,"148
						m²",N/A,5
Beautiful apartment for sale in El Kantaoui. 3 rooms. Reside...,"538,118 TND",Hammam Sousse,"133
						m²",N/A,5
Find an apartment to buy in El Kantaoui. 3 rooms. Residence...,"604,877 TND",Hammam Sousse,"150
						m²",N/A,5
Apartment to purchase in El Kantaoui. 2 lovely rooms. Swimmi...,"415,524 TND",Hammam Sousse,"107
						m²",N/A,5
Sell apartment in El Kantaoui. Large area 150 m². Robust doo...,"604,877 TND",Hammam Sousse,"150
						m²",N/A,5
Sell apartment in El Kantaoui. Area of 95 m². Partial sea vi...,"393,633 TND",Hammam Sousse,"95
						m²",N/A,5
Apartment for sale in El Kantaoui. 3 large living areas. Car...,"426,690 TND",Hammam Sousse,"112
						m²",N/A,5
RESIDENCE MYRIAM 3 - Carthage Gardens,"From640,000 TND",Le Kram,Completed,N/A,5
Fabulous apartment for sale in El Kantaoui. 1 lovely room. C...,"298,230 TND",Hammam Sousse,"67
						m²",N/A,5
Sale of a lovely apartment in Aouina. 6 lovely rooms. Secure...,"495,000 TND",La Marsa,"260
						m²",N/A,5
Find an apartment to buy in Aouina. Dimension 136 m². Robust...,"420,000 TND",La Marsa,"136
						m²",N/A,5
"Apartment for sale in Aouina. 3 beautiful rooms. No Lift, La...","299,000 TND",La Marsa,"133
						m²",N/A,5
Apartment to purchase in Les Jardins de Carthage. 1 lovely r...,"420,000 TND",Le Kram,"75
						m²",N/A,5
Sell apartment in Ain Zaghouan Nord. Surface area 134 m². Fu...,Price on request,La Marsa,"134
						m²",N/A,5
Sale of a lovely apartment in Kairouan Ville. 4 large rooms...,"248,841 TND",Kairouan Ville,"105
						m²",N/A,5
Sale of a lovely apartment in Ain Zaghouan Nord. Large area...,Price on request,La Marsa,"152
						m²",N/A,5
Apartment to purchase in Les Berges Du Lac 2.3 lovely rooms...,"890,000 TND",La Marsa,"170
						m²",N/A,5
Apartment to purchase. Small area 70 m². Built in oven,"220,000 TND",Ariana Ville,"70
						m²",N/A,5
Fabulous apartment for sale in Chotrana 1. Area of 150 m². R...,"630,000 TND",La Soukra,"150
						m²",N/A,5
Fabulous apartment for sale in Chotrana 1.2 large rooms. Dou...,"340,000 TND",La Soukra,"70
						m²",N/A,5
