page,title,price,location,listing_date,url,price_num,type,bedrooms,location_clean,age_hours
1,A vendre un terrain 147m² titre individuelle ce trouve a coté clinique soukra Ain Zaghouin la Marsa,200000 DT,tunis,21 minutes ago,https://www.tayara.tn/item/terrains-et-fermes/tunis/tunis/a-vendre-un-terrain-147m-titre-individuelle-ce-trouve-a-cot-clinique-soukra-ain-zaghouin-la-marsa/67596cdf8729cead59eae56b/,200000.0,sale,,Tunis,0.35
1,A vendre Villa S+3 + studio – 330 m² terrain – Carthage Dermech,950000 DT,Tunis,21 minutes ago,https://www.tayara.tn/item/maisons-et-villas/tunis/carthage/a-vendre-villa-s3-studio-330-m-terrain-carthage-dermech/696f65b2abc480ecf871ef6e/,950000.0,sale,,Tunis,0.35
2,🏡 À VENDRE – APPARTEMENT S+1 À AIN ZAGHOUAN,258000 DT,Tunis,23 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-vendre-appartement-s1-ain-zaghouan/696f653a1813559909245290/,258000.0,sale,,Tunis,0.38333333333333336
2,🏡 À Vendre – S+2 Direct Promoteur à Ain Zaghouan,382002 DT,Tunis,24 minutes ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-s2-direct-promoteur-ain-zaghouan/696f6517181355990924527e/,382002.0,sale,,Tunis,0.4
2,🗽 🗽 À VENDRE | Appartements S+1 & S+2 – Direct Promoteur 🗽 📍 Nouvelle Soukra 🗓️ Remise des clés : fin 2026,238001 DT,Tunis,25 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-s1-s2-direct-promoteur-nouvelle-soukra-remise-des-cls-fin-2026/696f64e81813559909245261/,238001.0,sale,,Tunis,0.4166666666666667
2,À vendre – Appartement S+2 à Laouina (Titre Bleu Individuel,249000 DT,Tunis,26 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s2-laouina-titre-bleu-individuel/696f64aa1813559909245240/,249000.0,sale,,Tunis,0.43333333333333335
2,"À VENDRE : Un superbe appartement S+3 entièrement rénové, idéalement situé à Cité Wahat.",395000 DT,Tunis,27 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-superbe-appartement-s3-entirement-rnov-idalement-situ-cit-wahat/696f6458cfcddb325c09cb02/,395000.0,sale,,Tunis,0.45
2,* À Vendre - Appartement S+2 s+3 Haut Standing - AinZaghouan • Remise des clés immédiates,355000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s2-s3-haut-standing-ainzaghouan-remise-des-cls-immdiates/696f64302838b4e20246da3c/,355000.0,sale,,Tunis,0.4666666666666667
2,"a vendre s+1 s+2 direct promoteur a laouina, Achat facilité par crédit bancaire",247000 DT,Tunis,28 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-s2-direct-promoteur-a-laouina-achat-facilit-par-crdit-bancaire/696f640818135599092451fa/,247000.0,sale,,Tunis,0.4666666666666667
2,"À VENDRE : Un appartement S+1 (Jamais Habité) , idéalement situé à Cité Wahat",218000 DT,Tunis,29 minutes ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-appartement-s1-jamais-habit-idalement-situ-cit-wahat/696f63fb2838b4e20246da2d/,218000.0,sale,,Tunis,0.48333333333333334
