scrape_date,category,title,price,location,size_m2,rooms,url,source,page
20260120,apt_sale,Apartment for sale in La Marsa. 2 beautiful rooms. Thermal i...,"410,000 TND",,128 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Sale of a lovely apartment in Les Jardins de Carthage. 2 bea...,N/A,,123 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Fabulous apartment for sale in Aouina. 1 room. Secured door...,N/A,,73 m²,1,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment for sale in Chotrana 1.4 large living areas. Doubl...,N/A,,159 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in Aouina. Area of 68 m². Doubl...,N/A,,68 m²,1,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment to purchase in Le Bardo. 6 large rooms. Garage and...,"420,000 TND",,137 m²,5,N/A,mubawab_ultra,12
20260120,apt_sale,Sell apartment in El Manar 1. 3 rooms. Caretaker service and...,"260,000 TND",,93 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in Le Bardo. 4 comfortable room...,"730,000 TND",,387 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Sell apartment in Les Jardins de Carthage. Large area 140 m²...,N/A,,140 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in La Soukra. 3 large living ar...,"491,000 TND",,122 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,"Sell apartment in La Soukra. Area of 81 m². Cellar, Large te...",N/A,,81 m²,1,N/A,mubawab_ultra,12
20260120,apt_sale,Find an apartment to buy in La Soukra. 3 rooms. Caretaker se...,"492,000 TND",,122 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Sale of a lovely apartment in La Soukra. Area of 121 m². Rei...,"477,000 TND",,121 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Find an apartment to buy in Chotrana 1. Dimension 104 m². Ca...,"584,517 TND",,104 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Find an apartment to buy in Charguia 1.1 room. Thermal insul...,"371,000 TND",,104 m²,1,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment for sale in Cité Jaafar. 2 rooms,N/A,,71 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Sell apartment in Habib Thameur. 5 comfortable rooms. Terrac...,"420,000 TND",,179 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,"Sale of a lovely apartment. 2 lovely rooms. Gardeners, Large...",N/A,,70 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Apartment for sale in Yasmine Hammamet. 4 large living areas...,"375,000 TND",,99 m²,3,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in Hammamet Nord. Small area 10...,"395,000 TND",,100 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Find an apartment to buy in Hammamet. 4 beautiful rooms. Wit...,"630,000 TND",,195 m²,4,N/A,mubawab_ultra,12
20260120,apt_sale,Fabulous apartment for sale in Cité Ennasr 2. Area of 140 m²...,"389,000 TND",,140 m²,4,N/A,mubawab_ultra,12
20260120,apt_sale,Fabulous apartment for sale in Les Berges Du Lac 1. Area of...,"490,000 TND",,90 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,Beautiful apartment for sale in Hammam Sousse. 2 beautiful r...,"240,000 TND",,100 m²,2,N/A,mubawab_ultra,12
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,12
20260120,apt_sale,N/A,"380,000 TND",,136 m²,2,N/A,mubawab_ultra,13
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,13
20260120,apt_sale,N/A,"380,000 TND",N/A,136 m²,2,N/A,mubawab_ultra,13
20260120,apt_sale,N/A,"380,000 TND",N/A,136 m²,2,N/A,mubawab_ultra,13
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,13
20260120,apt_sale,N/A,"300,000 TND",,158 m²,3,N/A,mubawab_ultra,14
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,14
20260120,apt_sale,N/A,"300,000 TND",N/A,158 m²,3,N/A,mubawab_ultra,14
20260120,apt_sale,N/A,"300,000 TND",N/A,158 m²,3,N/A,mubawab_ultra,14
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,14
20260120,apt_sale,N/A,"275,000 TND",,90 m²,2,N/A,mubawab_ultra,15
20260120,apt_sale,N/A,N/A,N/A,N/A,N/A,N/A,mubawab_ultra,15
