page,title,price,location,listing_date,url,source,size_m2,price_num,type,bedrooms,location_clean
8,Superbe villa à vendre à Manzel jemil Bizerte,750000 DT,Bizerte,3 hours ago,https://www.tayara.tn/item/maisons-et-villas/bizerte/menzel-jemil/superbe-villa-vendre-manzel-jemil-bizerte/6968abcd2838b4e202447e61/,tayara,,750000.0,sale,,Bizerte
8,📍 RIADH EL ANDALOUS : APPARTEMENT S+2 À VENDRE,245000 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/riadh-andalous/-riadh-el-andalous-appartement-s2-vendre/696f4793181355990924481a/,tayara,,245000.0,sale,,Ariana
8,📍ENNASR 2 : APPARTEMENT S+1 A VENDRE,225000 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s1-a-vendre/696f47041e1efe5ccc6ed0f4/,tayara,,225000.0,sale,,Ariana
8,📍 GHAZELA – UNE VILLA S+4 À VENDRE,570000 DT,Ariana,3 hours ago,https://www.tayara.tn/item/maisons-et-villas/ariana/ghazela/-ghazela-une-villa-s4-vendre/696f46d618135599092447d3/,tayara,,570000.0,sale,,Ariana
8,🛑 OPPORTUNITÉ NE PAS RATER 📍 FRANCE VILLE – VILLA S+7 FAISANT L’ANGLE À VENDRE,950000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/696f46882838b4e20246cf84/,tayara,,950000.0,sale,,Tunis
9,A vendre S+1 a Ariana Soghra,215000 DT,Ariana,3 hours ago,https://www.tayara.tn/item/appartements/ariana/ariana-essoughra/a-vendre-s1-a-ariana-soghra/692d6a57145e1617cbaeaf30/,tayara,,215000.0,sale,,Ariana
9,"A Vendre Un Terrain De 6,75 Hectares A Bir Mcherga",385000 DT,Zaghouan,3 hours ago,https://www.tayara.tn/item/terrains-et-fermes/zaghouan/bir-mchergua/a-vendre-un-terrain-de-675-hectares-a-bir-mcherga/6957f2788914daae51a554e7/,tayara,,385000.0,sale,,Zaghouan
9,À Vendre Ferme à Bir Bouregba de 4.1 hectares,650000 DT,tunis,3 hours ago,https://www.tayara.tn/item/terrains-et-fermes/tunis/tunis/-vendre-ferme-bir-bouregba-de-41-hectares/694a663d8914daae51a017ec/,tayara,,650000.0,sale,,Tunis
9,🏡 Appartements S+1 & S+2 Neufs – Vente Direct Promoteur 🏡,248000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-appartements-s1-s2-neufs-vente-direct-promoteur-/696f3dcc2838b4e20246cc78/,tayara,,248000.0,sale,,Tunis
10,🏡 Appartements S+1 & S+2 Neufs – Vente Direct Promoteur 🏡,248000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/ain-zaghouan-nord/-appartements-s1-s2-neufs-vente-direct-promoteur-/696f3dcc2838b4e20246cc78/,tayara,,248000.0,sale,,Tunis
10,À vendre S+1 / S+2 / S+3sur plan - Remise des clés fin 2027 Salle de sport équipé Piscine collective,217000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-s1-s2-s3sur-plan-remise-des-cls-fin-2027-salle-de-sport-quip-piscine-collective/696f3dc12838b4e20246cc6e/,tayara,,217000.0,sale,,Tunis
10,🌸 À VENDRE – Appartement S+1 | Jamais Habité 🌸 📍 Cité Wahat,215000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartement-s1-jamais-habit-cit-wahat/696f3db9181355990924449b/,tayara,,215000.0,sale,,Tunis
10,À vendre – Appartements & Duplex sur plan,168000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-appartements-duplex-sur-plan/696f3da22838b4e20246cc5b/,tayara,,168000.0,sale,,Tunis
10,🏡 À Vendre – S+3 à Jardins de Carthage avec Parking Sous-Sol & Cellier,740000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/carthage/-vendre-s3-jardins-de-carthage-avec-parking-soussol-cellier/696f3b9e18135599092443a3/,tayara,,740000.0,sale,,Tunis
10,A VENDRE UN APPARTEMENT S2 A LA NOUVELLE SOUKRA,330000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-un-appartement-s2-a-la-nouvelle-soukra/696f3acd2838b4e20246cb32/,tayara,,330000.0,sale,,Tunis
10,A VENDRE APPARTEMENT S1 A CITEE EL WAHAT,185000 DT,Tunis,3 hours ago,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-appartement-s1-a-citee-el-wahat/696f3aae181355990924435c/,tayara,,185000.0,sale,,Tunis
10,maison à vendre,85000 DT,Ariana,4 hours ago,https://www.tayara.tn/item/maisons-et-villas/ariana/raoued/maison-vendre/696f389418135599092442d3/,tayara,,85000.0,sale,,Ariana
11,A Vendre une villa jamais habité à cité Khalil La Marsa,850000 DT,Tunis,5 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/la-marsa/a-vendre-une-villa-jamais-habit-cit-khalil-la-marsa/68dfa31ee7035d31a40e3df5/,tayara,,850000.0,sale,,Tunis
11,Un bâtiment avec des locaux à vendre,3000000 DT,Ariana,8 hours ago,https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ariana/mnihla/un-btiment-avec-des-locaux-vendre/696ef6752838b4e20246c1a7/,tayara,,3000000.0,sale,,Ariana
11,Vente villa a Ezzahra 2 etages,750000 DT,Ben Arous,10 hours ago,https://www.tayara.tn/item/maisons-et-villas/ben-arous/ezzahra/vente-villa-a-ezzahra-2-etages/696ed9b11813559909243755/,tayara,,750000.0,sale,,Ben Arous
11,Deux maisons avec jardin et garage à vendre – Radès,600000 DT,Ben Arous,15 hours ago,https://www.tayara.tn/item/maisons-et-villas/ben-arous/rads/deux-maisons-avec-jardin-et-garage-vendre-rads/696e99ca2838b4e20246ad3a/,tayara,,600000.0,sale,,Ben Arous
12,Terrain à vendre 250m Hammamet Sud - Salloum أرض للبيع,30000 DT,Nabeul,17 hours ago,https://www.tayara.tn/item/terrains-et-fermes/nabeul/autres-villes/terrain-vendre-250m-hammamet-sud-salloum-/696e81472838b4e20246a268/,tayara,,30000.0,sale,,Nabeul
